MpCodigo;Divipola;Departamento;Municipio;Estimación Inseguridad Alimentaria Moderada-Grave;IRCA;Suficiencia de vías;Cantidad tipo de cultivos;temperature_2m_mean_c;NDVI;Pob rural;Cereales;Cultivos para condimentos, bebidas medicinales y aromáticas;Cultivos tropicales tradicionales;Frutales;Hortalizas;Leguminosas;Oleaginosas;Raíces y tubérculos;NDVI;EVI;NDMI;NDWI;MSI;BSI;NDBI;Zscore_NDVI;KPI;KPI_Quintile;Cluster
5264;05264;Antioquia;Entrerríos;0.16768266;13.9;24.39120286;5;13.64193548;0.726898954;0.474010678;21;0;0;11806.6;5218;48;0;28800;0.583558835;0.278726731;-0.642811823;0.584781978;-0.240654019;-0.278726731;0.474010678;1.034291674;0.234;Bajo;1
5266;05266;Antioquia;Envigado;0.13836954;3.2;15.22178788;7;14.55483871;0.596894852;0.041188496;0.04;2;4.57;475.81;432.02;6.67;0;322.77;0.448480394;0.205253481;-0.538283155;0.680469989;-0.161253086;-0.205253481;0.041188496;0.317640865;0.059;Muy Bajo;1
5282;05282;Antioquia;Fredonia;0.292853851;0.7;18.59228208;6;18.28064516;0.718506238;0.652891936;17.62;0;8721.27;30422;3450;27.97;0;190;0.570539791;0.232832013;-0.628863899;0.631189583;-0.191931561;-0.232832013;0.652891936;0.655819373;0.634;Alto;1
5284;05284;Antioquia;Frontino;0.528319976;1.8;7.207217841;6;20.55483871;0.812542547;0.557397373;199.39;0;101060.24;1129.78;51.6;103;0;165;0.540430803;0.296612099;-0.709577668;0.548959374;-0.266644565;-0.296612099;0.557397373;2.015913475;0.655;Alto;3
5306;05306;Antioquia;Giraldo;0.299230839;16.7;11.17684958;5;15.55806452;0.580546363;0.604465959;1.8;0;1076.58;107.85;138;4.4;0;0;0.504945818;0.239070131;-0.502093856;0.632693027;-0.193074266;-0.239070131;0.604465959;-0.751925775;0.838;Muy Alto;3
5308;05308;Antioquia;Girardota;0.236695021;19.4;19.22652599;6;20.68387097;0.680954945;0.451716337;25.6;0;18642.97;1034.4;3200;33.73;0;130;0.501978821;0.196773133;-0.613896687;0.688516856;-0.155167352;-0.196773133;0.451716337;1.242120196;0.34;Bajo;1
5310;05310;Antioquia;Gómez Plata;0.306409788;4.6;11.86627416;6;16.81612903;0.733768428;0.462257785;18;0;4557.37;7354.2;10;93.6;0;332.5;0.538817125;0.22032041;-0.660394701;0.668026894;-0.184842194;-0.22032041;0.462257785;1.044950464;0.461;Medio;2
5313;05313;Antioquia;Granada;0.346587071;0;14.47100194;7;17.33225806;0.698668138;0.444011036;7.74;10.5;15739.74;2061.6;625.88;32.94;0;310.75;0.539116714;0.233394196;-0.617954688;0.6287846;-0.194373255;-0.233394196;0.444011036;0.27575463;0.62;Alto;1
5315;05315;Antioquia;Guadalupe;0.163024804;0.9;12.39107253;7;18.28064516;0.734254221;0.634469967;105;14;10637.86;53;161.6;21.45;0;36;0.548831797;0.216221203;-0.664326786;0.655625034;-0.178112585;-0.216221203;0.634469967;1.139506545;0.541;Medio;1
5318;05318;Antioquia;Guarne;0.229014289;0.5;26.22436984;4;15.47741935;0.589904431;0.64761481;0;0;0;1302.78;19524;35.09;0;270;0.44837382;0.194795303;-0.535413445;0.684717814;-0.14635068;-0.194795303;0.64761481;0.06237386;0.318;Bajo;3
5321;05321;Antioquia;Guatapé;0.212314974;1.8;13.50992366;4;17.30645161;0.421725612;0.338731305;0;0;5.36;307.74;954.5;17.65;0;0;0.328435911;0.122494327;-0.276074802;1.026297668;-0.197701979;-0.122494327;0.338731305;0.048454088;0.075;Muy Bajo;3
5347;05347;Antioquia;Heliconia;0.295415935;6;16.42459817;6;20.63548387;0.703018414;0.545653037;53.69;0;1589.05;764.8;148.5;5.83;0;9;0.588616575;0.262190412;-0.609444039;0.593109118;-0.225262271;-0.262190412;0.545653037;0.485556486;0.615;Alto;1
5353;05353;Antioquia;Hispania;0.213718415;3.2;17.35753738;4;22.98387097;0.773938704;0.352504638;5.6;0;1233.66;1394;0;4.2;0;0;0.540660597;0.262140565;-0.679653893;0.59585618;-0.227320593;-0.262140565;0.352504638;0.883226305;0.208;Bajo;1
